FIPS,County,State,Insurance Coverage,Medicaid Enrollment,Gini Coefficient,Household Income,Annual Labor Force Participation Rate (2015-2019),Annual Unemployment Rate (2015-2019),Below Poverty,Uninsured,Monthly Unemployment Rate (Dec-22)
27041,Douglas County,Minnesota,0.9684218774486758,0.14412579010604398,0.4344,69069.0,0.6476236507169325,0.031991641375192795,0.04343525179856115,0.031578122551324195,0.031000000000000003
27043,Faribault County,Minnesota,0.9469071788505076,0.21456218505805885,0.4303,55186.0,0.6472850881116379,0.044361525704809286,0.07654455986878075,0.05309282114949243,0.042
27043,Faribault County,Minnesota,0.9469071788505076,0.21456218505805885,0.4303,55186.0,0.6472850881116379,0.044361525704809286,0.07654455986878075,0.05309282114949243,0.042
27045,Fillmore County,Minnesota,0.9151346421542744,0.1873949983199731,0.3977,67195.0,0.673054833444169,0.03413275846582233,0.05198191933240612,0.08486535784572558,0.042
27045,Fillmore County,Minnesota,0.9151346421542744,0.1873949983199731,0.3977,67195.0,0.673054833444169,0.03413275846582233,0.05198191933240612,0.08486535784572558,0.031000000000000003
27047,Freeborn County,Minnesota,0.9456735819327731,0.23647584033613445,0.43,59862.0,0.6288396940386094,0.04138241729952375,0.07148067104303428,0.054326418067226934,0.031000000000000003
27047,Freeborn County,Minnesota,0.9456735819327731,0.23647584033613445,0.43,59862.0,0.6288396940386094,0.04138241729952375,0.07148067104303428,0.054326418067226934,0.032
27049,Goodhue County,Minnesota,0.9422191774956649,0.16197469546787693,0.4104,71414.0,0.6615070322935491,0.037098626123450926,0.05788503166840375,0.05778082250433514,0.034
27049,Goodhue County,Minnesota,0.9422191774956649,0.16197469546787693,0.4104,71414.0,0.6615070322935491,0.037098626123450926,0.05788503166840375,0.05778082250433514,0.028999999999999998
27051,Grant County,Minnesota,0.9465712383488681,0.25732356857523303,0.4553,60781.0,0.638125,0.04178909565785178,0.05197132616487455,0.05342876165113186,0.039
27051,Grant County,Minnesota,0.9465712383488681,0.25732356857523303,0.4553,60781.0,0.638125,0.04178909565785178,0.05197132616487455,0.05342876165113186,0.045
27053,Hennepin County,Minnesota,0.951937247444735,0.1703755645352983,0.4788,85438.0,0.7229403458572394,0.043468405493374884,0.05696476147388529,0.04806275255526504,0.024
27053,Hennepin County,Minnesota,0.951937247444735,0.1703755645352983,0.4788,85438.0,0.7229403458572394,0.043468405493374884,0.05696476147388529,0.04806275255526504,0.026000000000000002
27055,Houston County,Minnesota,0.9529512863204254,0.14630216445566357,0.4083,62397.0,0.6760945883288071,0.015577544822180857,0.039453125,0.04704871367957464,0.028999999999999998
27055,Houston County,Minnesota,0.9529512863204254,0.14630216445566357,0.4083,62397.0,0.6760945883288071,0.015577544822180857,0.039453125,0.04704871367957464,0.037000000000000005
27057,Hubbard County,Minnesota,0.9406392694063926,0.2358732876712329,0.4209,63122.0,0.5886594940389648,0.04366725943489429,0.06251050243656528,0.05936073059360736,0.057
27057,Hubbard County,Minnesota,0.9406392694063926,0.2358732876712329,0.4209,63122.0,0.5886594940389648,0.04366725943489429,0.06251050243656528,0.05936073059360736,0.065
27059,Isanti County,Minnesota,0.9514642283454837,0.18438156431483999,0.3982,78687.0,0.6778932169873505,0.04533036995879057,0.059952746603662135,0.04853577165451628,0.045
27059,Isanti County,Minnesota,0.9514642283454837,0.18438156431483999,0.3982,78687.0,0.6778932169873505,0.04533036995879057,0.059952746603662135,0.04853577165451628,0.054000000000000006
27061,Itasca County,Minnesota,0.9511831310597328,0.24157570004746085,0.4341,58393.0,0.5578933043004899,0.06557057130311753,0.07298456260720412,0.048816868940267155,0.057999999999999996
27061,Itasca County,Minnesota,0.9511831310597328,0.24157570004746085,0.4341,58393.0,0.5578933043004899,0.06557057130311753,0.07298456260720412,0.048816868940267155,0.062000000000000006
27063,Jackson County,Minnesota,0.9619729675206778,0.18287270526528143,0.4293,64134.0,0.6585698351716446,0.030861874294316898,0.052591463414634144,0.038027032479322154,0.026000000000000002
27063,Jackson County,Minnesota,0.9619729675206778,0.18287270526528143,0.4293,64134.0,0.6585698351716446,0.030861874294316898,0.052591463414634144,0.038027032479322154,0.028999999999999998
27065,Kanabec County,Minnesota,0.9402777777777778,0.24779040404040403,0.3979,60982.0,0.6182795698924731,0.04472049689440994,0.0566736062919269,0.05972222222222223,0.071
27065,Kanabec County,Minnesota,0.9402777777777778,0.24779040404040403,0.3979,60982.0,0.6182795698924731,0.04472049689440994,0.0566736062919269,0.05972222222222223,0.084
27067,Kandiyohi County,Minnesota,0.9368197318634092,0.21429906105479515,0.4184,67798.0,0.6862791314339589,0.03374404327480359,0.07344285337784415,0.06318026813659083,0.040999999999999995
27067,Kandiyohi County,Minnesota,0.9368197318634092,0.21429906105479515,0.4184,67798.0,0.6862791314339589,0.03374404327480359,0.07344285337784415,0.06318026813659083,0.036000000000000004
27069,Kittson County,Minnesota,0.9379901960784314,0.18970588235294117,0.3919,60676.0,0.6341248900615655,0.03421174294960703,0.04279069767441861,0.06200980392156863,0.038
27069,Kittson County,Minnesota,0.9379901960784314,0.18970588235294117,0.3919,60676.0,0.6341248900615655,0.03421174294960703,0.04279069767441861,0.06200980392156863,0.032
27071,Koochiching County,Minnesota,0.9389147802929427,0.2203728362183755,0.4116,54708.0,0.5825825825825826,0.05271034253408713,0.08775193798449613,0.06108521970705727,0.044000000000000004
