FIPS,County,State,Vacancy Rate,No Vehicle,Rent Burden (40% Income)
27119,Polk County,Minnesota,0.15616681455190773,0.02623478382538128,0.31454495463293924
27121,Pope County,Minnesota,0.2333490048581727,0.008145918186647777,0.3282937365010799
27123,Ramsey County,Minnesota,0.050770198742514705,0.04137258340274429,0.31567028985507245
27125,Red Lake County,Minnesota,0.1217437533227007,0.01899736147757256,0.23905723905723905
27127,Redwood County,Minnesota,0.13788261724234765,0.01787941787941788,0.2806236080178174
27129,Renville County,Minnesota,0.161516452074392,0.012683770539060248,0.27182866556836904
27131,Rice County,Minnesota,0.07428800641797031,0.01887516572465285,0.2981001727115717
27133,Rock County,Minnesota,0.07195266272189349,0.010783316378433367,0.21550741163055873
27135,Roseau County,Minnesota,0.20777050550062665,0.00989970040380357,0.2631578947368421
27137,St. Louis County,Minnesota,0.1743935752275601,0.025128418714424547,0.32020197804949296
27139,Scott County,Minnesota,0.02477674826152613,0.012093406127809993,0.2933682174951655
27141,Sherburne County,Minnesota,0.046941478121213825,0.014467457916375766,0.26140845070422536
27143,Sibley County,Minnesota,0.09113453192808431,0.014024152707440592,0.19120135363790186
27145,Stearns County,Minnesota,0.08028281096963762,0.018743164590378256,0.3146451884607286
27147,Steele County,Minnesota,0.048011236672412694,0.021452056271222982,0.3324569091440257
27149,Stevens County,Minnesota,0.10742233815508656,0.028536977491961414,0.20100083402835697
27151,Swift County,Minnesota,0.10357294768183752,0.01858736059479554,0.2863359442993908
27153,Todd County,Minnesota,0.25054704595185995,0.05549368968077208,0.21948212083847102
27155,Traverse County,Minnesota,0.25210084033613445,0.01740211311373524,0.14625850340136054
27157,Wabasha County,Minnesota,0.10981009544425858,0.013140009062075216,0.1995249406175772
27159,Wadena County,Minnesota,0.1945165945165945,0.015843586718354962,0.20367847411444143
27161,Waseca County,Minnesota,0.04669703872437358,0.011737337422015439,0.2801867911941294
27163,Washington County,Minnesota,0.04047350400747023,0.013057599742505597,0.3125383285945253
27165,Watonwan County,Minnesota,0.12851897184822522,0.018916256157635467,0.19586507072905332
27167,Wilkin County,Minnesota,0.10457734714333444,0.00520494469746259,0.25257731958762886
27169,Winona County,Minnesota,0.07027601830875214,0.03349171398771584,0.31803332244364585
27171,Wright County,Minnesota,0.06612690572134222,0.007641344551477462,0.23097666783913706
27173,Yellow Medicine County,Minnesota,0.13536638876700308,0.016069489685124866,0.13117283950617284
