FIPS,County,State,Total,Under 18,18 to 64,Over 64,Below 9th grade,High School,College,Advanced Degree,White,Black,Hispanic,Asian,Other_Races,Urban_Percentage
27041,Douglas County,Minnesota,38742,0.2184450983428837,0.5554953280677302,0.2260595735893862,0.014476011696328653,0.9240460633190137,0.2689794592252987,0.08436518537236923,0.9534355479840999,0.0026844251716483403,0.01879097620153838,0.004388002684425171,0.020701047958288164,0.47159999999999996
27043,Faribault County,Minnesota,13933,0.22306753750089714,0.5508504988157611,0.2260819636833417,0.025747592498732895,0.8950836289913837,0.20233147491130257,0.04409528636594019,0.8953563482379961,0.005598220053111318,0.07514533840522501,0.003588602598148281,0.02031149070551927,0.2238
27045,Fillmore County,Minnesota,21179,0.24817035742952925,0.5441238963123849,0.20770574625808583,0.03747153405562073,0.8869643226830447,0.2237940790835691,0.06755917466013388,0.9518863024694273,0.0050521743236224565,0.018083951083620566,0.0054299069833325464,0.019547665139997165,0.0672
27047,Freeborn County,Minnesota,30882,0.22181205880448157,0.5590311508322,0.21915679036331845,0.04815825375170532,0.8325602546612096,0.16757617098681218,0.04829467939972715,0.8359562204520432,0.010102972605401205,0.1041383330095201,0.029693672689592644,0.020108801243442782,0.5717
27049,Goodhue County,Minnesota,47503,0.22358587878660297,0.580742268909332,0.195671852304065,0.014648088603072526,0.9053233297606288,0.26622603310706205,0.08967488388710254,0.9094162473949013,0.012967602046186556,0.035850367345220305,0.007346904406037513,0.034418878807654256,0.5296000000000001
27051,Grant County,Minnesota,6045,0.2284532671629446,0.5379652605459057,0.2335814722911497,0.015341701534170154,0.8907484890748489,0.18549511854951187,0.0502092050209205,0.9432588916459884,0.007113316790736146,0.022994210090984284,0.0004962779156327543,0.026137303556658397,0.0
27053,Hennepin County,Minnesota,1270283,0.22055006640252606,0.637841331419849,0.141608602177625,0.032559971300237314,0.9168555652755506,0.5184754722276607,0.19306814722435042,0.6742466048904063,0.13129200343545494,0.07030795499900416,0.07181942921380512,0.05233400746132948,0.9778
27055,Houston County,Minnesota,18806,0.2238647240242476,0.5613633946612783,0.2147718813144741,0.015899081884003883,0.9240874822721504,0.25363887437486005,0.07374785399716355,0.9434754865468468,0.010369031160268,0.013559502286504307,0.007710305221737743,0.024885674784643198,0.4261
27057,Hubbard County,Minnesota,21219,0.21381780479758708,0.5350864790989208,0.25109571610349213,0.008808860677505019,0.9062115421983289,0.2950320616620247,0.10227346330720902,0.9184221688109713,0.00673924313115604,0.024741976530467977,0.0035345680757811397,0.04656204345162354,0.1663
27059,Isanti County,Minnesota,40604,0.2373657767707615,0.602009654221259,0.1606245690079795,0.016103748040473136,0.8743408864186974,0.18800769559640873,0.05205215904232578,0.928997143138607,0.0073145502906117625,0.023298197221948577,0.016353068663185893,0.024037040685646733,0.3774
27061,Itasca County,Minnesota,44969,0.20861037603682536,0.5544708577019725,0.23691876626120217,0.009706352131711513,0.9060695417127411,0.2515050989064996,0.08757218331490355,0.8947719540127643,0.005603860437190064,0.016389068024639197,0.0027129800529253484,0.08052213747248105,0.2061
27063,Jackson County,Minnesota,10016,0.22054712460063897,0.5604033546325878,0.21904952076677317,0.018380805387961274,0.8991160376034797,0.22127122211309105,0.05009120246948225,0.9144369009584664,0.002296325878594249,0.04163338658146965,0.015475239616613418,0.02615814696485623,0.30870000000000003
27065,Kanabec County,Minnesota,16004,0.2141339665083729,0.5780429892526868,0.20782304423894027,0.03276826284515903,0.840440405452639,0.14828731212862636,0.05207969241523943,0.9400774806298425,0.003874031492126968,0.01699575106223444,0.004561359660084979,0.03449137715571107,0.226
